"","subject","stream","orientation","efficacy","latency","precision","val","warnings","valGuessing","pLRtest"
"45","AL","Left","Canonical",0.897981331105531,0.211699880858966,0.714786629518797,163.662599352722,"None",320.482653117197,1.11032465910616e-67
"46","AL","Left","Inverted",0.693979030403515,0.377804183131729,0.720885673952916,227.963703244525,"None",323.992840770365,2.19268329004849e-41
"47","AL","Right","Canonical",0.802854532411819,0.392149418255555,0.74468020801728,195.382406715802,"None",319.102780299345,2.34069459293428e-53
"48","AL","Right","Inverted",0.692404543821787,0.102078578576817,0.978883993642331,240.095866679761,"None",321.166632926805,6.32346201186923e-35
"49","AM","Left","Canonical",0.72975533090434,0.544499489039544,0.80368204294746,223.131647471704,"None",322.689695346291,6.54858303329005e-43
"50","AM","Left","Inverted",0.165685359988487,0.825695085882159,0.64161709917255,331.614606341101,"None",340.037911463297,0.000759976929653301
"51","AM","Right","Canonical",0.248197241399955,1.14277095996043,0.963135581575335,323.057426870869,"None",335.913409193139,1.09578598367387e-05
"52","AM","Right","Inverted",0.606576333419737,0.36683843073062,0.89566256923019,255.480103281394,"None",323.439686607124,2.865953145901e-29
"53","AN","Left","Canonical",0.840081909511132,-0.085599602569859,0.774521779403093,191.247317798579,"None",323.192041924138,6.47771684325214e-57
"54","AN","Left","Inverted",0.490506559480346,0.0928968469626581,0.936843973072379,288.113984160991,"None",332.709071211892,3.26955226178506e-19
"55","AN","Right","Canonical",0.301805635730513,0.442625744954344,0.890920445590617,313.510496297953,"None",332.958155528393,1.82659182088377e-08
"56","AN","Right","Inverted",0.866417323336465,0.221510793290538,1.06727614494709,200.23001816777,"None",319.136038174688,2.82906844115998e-51
"57","AO","Left","Canonical",0.730470599728161,0.313333704291279,0.553475364878083,203.62443686048,"None",322.33956603424,3.42137204821898e-51
"58","AO","Left","Inverted",0.648711309228877,0.181621624884427,0.797777585091264,243.136727478605,"None",324.711009879665,3.83361841854055e-35
"59","AO","Right","Canonical",0.588046896746481,0.492641124275947,0.744098587037951,254.185705529453,"None",324.957407173149,1.75655512918339e-30
"60","AO","Right","Inverted",0.205551009237609,0.344708528764748,0.680221872208573,325.827166723313,"None",337.841355197268,2.46415248021226e-05
"61","AP","Left","Canonical",0.573277915186257,0.760726691695733,1.34453630912204,281.888147184369,"None",328.207005437774,5.94188002361541e-20
"62","AP","Left","Inverted",0.121124436125318,1.08366006758536,0.490258987153504,331.8645455867,"None",337.820454064316,0.00769142460894286
"63","AP","Right","Canonical",0.105452255455919,1.44700957506054,0.220475495619771,339.38619824177,"None",344.221397382712,0.02158602537998
"64","AP","Right","Inverted",0.39403735678487,0.873281237946469,0.608960666732074,296.063246324291,"None",335.712429102503,4.34037823853306e-17
"65","AQ","Left","Canonical",0.749346547098734,0.535553784337105,0.645157743457225,207.838312076552,"None",324.832529798243,1.89862145380022e-50
"66","AQ","Left","Inverted",0.0921760169653266,1.41051467194182,1e-05,337.48562374579,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",343.864340549945,0.0051916430090014
"67","AQ","Right","Canonical",0.280179549407732,1.03788109696942,0.433400739875561,309.580999552162,"None",336.727140122724,9.72028763533338e-12
"68","AQ","Right","Inverted",0.581220209026708,0.777418264306979,0.423040635769528,231.949049344197,"None",321.940688129849,8.89359142230178e-39
"69","AR","Left","Canonical",0.147407871839361,0.302427361677735,1.22072219495855,332.025179952684,"None",336.081466948752,0.0437415412409598
"70","AR","Left","Inverted",0.78723994689963,-0.491875234836715,0.913316050037939,219.501886937402,"None",326.74579959211,3.12041764601442e-46
"71","AR","Right","Canonical",0.835730936688548,-0.325776958827192,0.661554178659443,179.006585015229,"None",320.443066502339,5.06033852140928e-61
"72","AR","Right","Inverted",0.160962042191566,3.60631526624734,4,333.435667709257,"None",334.476089203703,0.555798068902934
"73","AS","Left","Canonical",0.673866627781634,-0.190266337093069,0.506075426445081,217.500469604479,"None",325.123846234552,2.13881664317304e-46
"74","AS","Left","Inverted",0.0400015448121405,-0.151383474376182,1e-05,341.756538119529,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",343.219516566034,0.40318261464713
"75","AS","Right","Canonical",0.0836303375374544,-0.44198292681886,0.190631305778365,338.402283378394,"None",341.628085340392,0.0915907903831632
"76","AS","Right","Inverted",0.53090882815678,-0.435196033253854,0.179091269763363,251.897931475068,"None",330.944729425552,4.7264003851869e-34
"77","AT","Left","Canonical",0.77090758324155,0.393133012759966,0.176996880766932,169.310479616426,"None",324.078772919802,8.58374112911147e-67
"78","AT","Left","Inverted",0.0654678493745793,-0.00081994527426231,0.914152614426793,338.065799087259,"None",339.201068813725,0.518188247768005
"79","AT","Right","Canonical",0.192721933306454,0.654282623915089,0.174772720063655,316.208600249789,"None",332.826348153419,2.87255065095493e-07
"80","AT","Right","Inverted",0.680903031389687,0.111870147354792,0.413158936372005,204.135913914211,"None",324.02813248276,1.05955035475131e-51
"81","AU","Left","Canonical",0.807909499937411,0.370348204221918,0.617450463130965,182.376248408579,"None",319.031303916378,5.93351120074433e-59
"82","AU","Left","Inverted",0.623757319215056,0.204370176242155,0.592706145008694,239.122879042789,"None",325.957738255598,2.05296413386201e-37
"83","AU","Right","Canonical",0.716452606016979,0.24932589095549,0.673406938813224,219.149635440612,"None",324.500944738494,2.05271868119579e-45
"84","AU","Right","Inverted",0.566722084365854,0.233762389985111,0.812304624258659,270.796638420078,"None",333.332829251716,6.23490446996147e-27
"85","AV","Left","Canonical",0.676647649855728,0.164215535828762,0.562552918016,216.656140918857,"None",321.351700138662,3.94252963237693e-45
"86","AV","Left","Inverted",0.429893423664046,0.758144775421832,0.477289328098639,280.255444453007,"None",331.593570379289,4.13028369946444e-22
"87","AV","Right","Canonical",0.634202908418801,0.508846202683946,0.676576897293749,242.157218520625,"None",327.242755802889,1.16878218135779e-36
"88","AV","Right","Inverted",0.775796658221552,-0.0431516571866794,0.784430136171681,206.209701340926,"None",320.453552751,2.93619996773961e-49
