experimentPhase	block	condition	trialnum	subject	task	noisePercent	leftStreamFlip	rightStreamFlip	rightResponseFirst	word1_0	word1_1	word1_2	word1_3	word1_4	word1_5	word1_6	word1_7	word1_8	word1_9	word1_10	word1_11	word1_12	word1_13	word1_14	word1_15	word1_16	word1_17	Seq1_0	Seq1_1	Seq1_2	Seq1_3	Seq1_4	Seq1_5	Seq1_6	Seq1_7	Seq1_8	Seq1_9	Seq1_10	Seq1_11	Seq1_12	Seq1_13	Seq1_14	Seq1_15	Seq1_16	Seq1_17	word2_0	word2_1	word2_2	word2_3	word2_4	word2_5	word2_6	word2_7	word2_8	word2_9	word2_10	word2_11	word2_12	word2_13	word2_14	word2_15	word2_16	word2_17	Seq2_0	Seq2_1	Seq2_2	Seq2_3	Seq2_4	Seq2_5	Seq2_6	Seq2_7	Seq2_8	Seq2_9	Seq2_10	Seq2_11	Seq2_12	Seq2_13	Seq2_14	Seq2_15	Seq2_16	Seq2_17	timingBlips	file	SOA	letterdurDesired	letterDurFrames	letterdur	side	answer	correct	targetSP	response	SPE
main	1	0	7	MBL	T1	0	False	False	False	g	i	k	m	t	w	p	c	r	s	j	a	u	z	h	y	f	x	14	1	2	16	6	4	3	17	12	5	13	11	0	7	10	9	8	15	g	i	k	m	t	w	p	c	r	s	j	a	u	z	h	y	f	x	10	1	2	15	8	4	13	0	14	3	16	7	9	5	17	11	12	6	0	MBL_14May2019_10-58.txt	350	200	12	200	right	C	0	11	O	7
main	1	0	0	MBL	T1	0	False	False	True	j	l	v	n	g	b	f	c	u	w	i	m	o	k	h	y	d	t	17	15	2	0	10	4	1	11	16	5	14	7	13	12	3	6	8	9	j	l	v	n	g	b	f	c	u	w	i	m	o	k	h	y	d	t	2	15	11	3	7	13	16	6	1	0	12	4	9	17	5	8	10	14	1	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	left	B	1	9	B	0
main	1	0	0	MBL	T1	0	False	False	True	j	l	v	n	g	b	f	c	u	w	i	m	o	k	h	y	d	t	17	15	2	0	10	4	1	11	16	5	14	7	13	12	3	6	8	9	j	l	v	n	g	b	f	c	u	w	i	m	o	k	h	y	d	t	2	15	11	3	7	13	16	6	1	0	12	4	9	17	5	8	10	14	1	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	right	J	0	9	V	-9
main	1	0	1	MBL	T1	0	False	False	False	o	a	u	w	g	n	c	p	j	k	r	l	i	t	d	z	x	f	11	5	15	17	9	1	14	12	2	16	10	0	8	4	6	7	3	13	o	a	u	w	g	n	c	p	j	k	r	l	i	t	d	z	x	f	5	16	0	14	10	9	4	3	8	7	13	2	15	11	1	17	12	6	0	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	left	A	1	5	A	0
main	1	0	1	MBL	T1	0	False	False	False	o	a	u	w	g	n	c	p	j	k	r	l	i	t	d	z	x	f	11	5	15	17	9	1	14	12	2	16	10	0	8	4	6	7	3	13	o	a	u	w	g	n	c	p	j	k	r	l	i	t	d	z	x	f	5	16	0	14	10	9	4	3	8	7	13	2	15	11	1	17	12	6	0	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	right	K	1	5	K	0
main	1	0	2	MBL	T1	0	False	False	True	y	l	o	x	k	s	w	j	p	v	d	a	z	g	q	m	n	i	7	15	1	14	17	13	8	5	3	0	11	16	2	10	6	4	12	9	y	l	o	x	k	s	w	j	p	v	d	a	z	g	q	m	n	i	17	10	6	2	5	7	3	4	9	16	8	0	11	13	12	15	1	14	0	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	left	G	1	5	G	0
main	1	0	2	MBL	T1	0	False	False	True	y	l	o	x	k	s	w	j	p	v	d	a	z	g	q	m	n	i	7	15	1	14	17	13	8	5	3	0	11	16	2	10	6	4	12	9	y	l	o	x	k	s	w	j	p	v	d	a	z	g	q	m	n	i	17	10	6	2	5	7	3	4	9	16	8	0	11	13	12	15	1	14	0	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	right	J	0	5	I	-5
main	1	0	3	MBL	T1	0	False	False	False	u	j	n	r	e	s	k	o	b	h	c	a	v	l	i	w	x	t	14	15	17	5	3	9	1	13	16	7	11	6	4	12	2	8	10	0	u	j	n	r	e	s	k	o	b	h	c	a	v	l	i	w	x	t	17	4	2	7	9	14	13	16	3	12	8	15	1	11	0	6	5	10	0	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	left	A	1	10	A	0
main	1	0	3	MBL	T1	0	False	False	False	u	j	n	r	e	s	k	o	b	h	c	a	v	l	i	w	x	t	14	15	17	5	3	9	1	13	16	7	11	6	4	12	2	8	10	0	u	j	n	r	e	s	k	o	b	h	c	a	v	l	i	w	x	t	17	4	2	7	9	14	13	16	3	12	8	15	1	11	0	6	5	10	0	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	right	B	0	10	U	4
main	1	0	4	MBL	T1	0	False	False	False	q	c	v	t	h	g	d	p	r	x	l	m	w	k	y	f	a	u	5	15	10	11	6	7	4	0	14	13	1	16	8	2	12	9	17	3	q	c	v	t	h	g	d	p	r	x	l	m	w	k	y	f	a	u	15	6	16	17	12	1	13	8	9	5	0	4	14	3	10	2	7	11	0	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	left	C	1	10	C	0
main	1	0	4	MBL	T1	0	False	False	False	q	c	v	t	h	g	d	p	r	x	l	m	w	k	y	f	a	u	5	15	10	11	6	7	4	0	14	13	1	16	8	2	12	9	17	3	q	c	v	t	h	g	d	p	r	x	l	m	w	k	y	f	a	u	15	6	16	17	12	1	13	8	9	5	0	4	14	3	10	2	7	11	0	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	right	Q	0	10	Z	11
main	1	0	5	MBL	T1	0	False	False	False	t	r	n	o	e	i	p	y	d	m	j	l	a	v	c	b	u	h	7	10	0	3	11	13	15	17	14	5	2	4	12	8	16	1	6	9	t	r	n	o	e	i	p	y	d	m	j	l	a	v	c	b	u	h	12	15	16	17	11	5	1	10	2	14	8	9	3	7	6	13	0	4	0	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	left	E	1	11	E	0
main	1	0	5	MBL	T1	0	False	False	False	t	r	n	o	e	i	p	y	d	m	j	l	a	v	c	b	u	h	7	10	0	3	11	13	15	17	14	5	2	4	12	8	16	1	6	9	t	r	n	o	e	i	p	y	d	m	j	l	a	v	c	b	u	h	12	15	16	17	11	5	1	10	2	14	8	9	3	7	6	13	0	4	0	MBL_14May2019_11-04.txt	400	250	14	233.33333333333334	right	M	1	11	M	0
main	1	0	0	MBL	T1	0	False	False	False	g	p	k	f	s	w	a	n	j	e	r	d	q	u	y	o	m	i	8	4	6	7	15	3	11	14	9	17	5	13	16	10	12	2	1	0	g	p	k	f	s	w	a	n	j	e	r	d	q	u	y	o	m	i	17	14	13	15	8	11	9	2	4	10	12	0	7	5	3	16	1	6	1	MBL_14May2019_11-06.txt	400	300	18	300	left	D	1	6	D	0
main	1	0	0	MBL	T1	0	False	False	False	g	p	k	f	s	w	a	n	j	e	r	d	q	u	y	o	m	i	8	4	6	7	15	3	11	14	9	17	5	13	16	10	12	2	1	0	g	p	k	f	s	w	a	n	j	e	r	d	q	u	y	o	m	i	17	14	13	15	8	11	9	2	4	10	12	0	7	5	3	16	1	6	1	MBL_14May2019_11-06.txt	400	300	18	300	right	E	0	6	U	-4
