experimentPhase	block	condition	trialnum	subject	task	noisePercent	leftStreamFlip	rightStreamFlip	rightResponseFirst	cueSerialPos0	answer0	response0	correct0	responsePosRelative0	cueSerialPos1	answer1	response1	correct1	responsePosRelative1	word1_0	word1_1	word1_2	word1_3	word1_4	word1_5	word1_6	word1_7	word1_8	word1_9	word1_10	word1_11	word1_12	word1_13	word1_14	word1_15	word1_16	word1_17	Seq1_0	Seq1_1	Seq1_2	Seq1_3	Seq1_4	Seq1_5	Seq1_6	Seq1_7	Seq1_8	Seq1_9	Seq1_10	Seq1_11	Seq1_12	Seq1_13	Seq1_14	Seq1_15	Seq1_16	Seq1_17	word2_0	word2_1	word2_2	word2_3	word2_4	word2_5	word2_6	word2_7	word2_8	word2_9	word2_10	word2_11	word2_12	word2_13	word2_14	word2_15	word2_16	word2_17	Seq2_0	Seq2_1	Seq2_2	Seq2_3	Seq2_4	Seq2_5	Seq2_6	Seq2_7	Seq2_8	Seq2_9	Seq2_10	Seq2_11	Seq2_12	Seq2_13	Seq2_14	Seq2_15	Seq2_16	Seq2_17	timingBlips
main	1	0	10	MBL 	 T1 	0	False 	False 	False 	8	R 	R 	1	0	8	X 	X 	1	0	w 	a 	c 	o 	s 	t 	r 	u 	v 	d 	x 	l 	b 	m 	j 	g 	e 	n 	5	3	11	13	14	7	8	15	6	12	4	2	17	9	0	10	16	1	w 	a 	c 	o 	s 	t 	r 	u 	v 	d 	x 	l 	b 	m 	j 	g 	e 	n 	3	9	7	14	6	12	11	4	10	5	13	0	17	15	8	1	16	2	1
main	1	0	11	MBL 	 T1 	0	False 	False 	True 	11	C 	C 	1	0	11	E 	H 	0	-999	b 	m 	g 	c 	r 	p 	i 	y 	z 	e 	q 	s 	o 	t 	n 	v 	j 	k 	10	9	17	15	13	1	14	11	12	5	2	3	7	8	0	4	16	6	b 	m 	g 	c 	r 	p 	i 	y 	z 	e 	q 	s 	o 	t 	n 	v 	j 	k 	2	4	6	5	11	10	8	12	15	0	14	9	16	1	13	7	17	3	0
main	1	0	12	MBL 	 T1 	0	False 	False 	True 	6	G 	G 	1	0	6	G 	C 	0	1	i 	e 	m 	b 	f 	s 	r 	h 	g 	d 	z 	k 	v 	l 	c 	p 	j 	w 	1	7	11	9	14	2	8	10	12	13	6	0	4	17	3	5	15	16	i 	e 	m 	b 	f 	s 	r 	h 	g 	d 	z 	k 	v 	l 	c 	p 	j 	w 	11	0	6	15	2	13	8	14	3	10	12	7	16	4	9	17	1	5	0
main	1	0	13	MBL 	 T1 	0	False 	False 	False 	5	L 	I 	0	-999	5	D 	H 	0	7	m 	n 	p 	h 	t 	d 	l 	c 	r 	z 	a 	j 	o 	g 	v 	s 	f 	e 	12	11	15	0	1	6	4	7	10	9	13	3	17	2	5	8	16	14	m 	n 	p 	h 	t 	d 	l 	c 	r 	z 	a 	j 	o 	g 	v 	s 	f 	e 	4	10	17	14	12	5	15	1	7	9	8	13	3	11	0	2	6	16	0
main	1	0	14	MBL 	 T1 	0	False 	False 	True 	5	V 	V 	1	0	5	T 	I 	0	5	t 	e 	h 	f 	g 	m 	i 	d 	n 	j 	x 	c 	v 	l 	a 	z 	w 	o 	11	8	13	5	1	12	9	2	14	6	0	4	3	7	15	17	16	10	t 	e 	h 	f 	g 	m 	i 	d 	n 	j 	x 	c 	v 	l 	a 	z 	w 	o 	17	15	9	14	8	0	2	1	10	12	6	4	13	11	5	16	3	7	0
main	1	0	15	MBL 	 T1 	0	False 	False 	False 	6	L 	L 	1	0	6	Q 	H 	0	6	t 	a 	w 	f 	n 	b 	e 	r 	k 	u 	j 	d 	s 	l 	h 	m 	q 	o 	14	5	8	10	7	11	13	9	0	3	12	15	1	17	6	4	16	2	t 	a 	w 	f 	n 	b 	e 	r 	k 	u 	j 	d 	s 	l 	h 	m 	q 	o 	10	13	15	1	4	17	16	12	0	11	5	9	14	8	3	6	2	7	0
main	1	0	16	MBL 	 T1 	0	False 	False 	False 	6	J 	J 	1	0	6	I 	H 	0	1	s 	r 	x 	n 	z 	i 	v 	f 	j 	p 	h 	k 	c 	l 	o 	t 	a 	e 	14	6	16	12	15	7	8	4	5	2	13	9	1	3	0	17	11	10	s 	r 	x 	n 	z 	i 	v 	f 	j 	p 	h 	k 	c 	l 	o 	t 	a 	e 	3	6	0	12	4	9	5	10	15	14	17	16	13	2	11	1	8	7	0
main	1	0	17	MBL 	 T1 	0	False 	False 	False 	10	H 	H 	1	0	10	V 	X 	0	-7	y 	x 	r 	j 	p 	c 	e 	z 	t 	s 	v 	h 	u 	d 	f 	n 	l 	o 	17	13	9	4	0	16	2	8	3	15	11	1	10	5	12	14	6	7	y 	x 	r 	j 	p 	c 	e 	z 	t 	s 	v 	h 	u 	d 	f 	n 	l 	o 	2	15	8	1	7	14	6	11	0	3	10	5	16	9	17	13	12	4	0
main	1	0	18	MBL 	 T1 	0	False 	False 	True 	7	K 	K 	1	0	7	U 	U 	1	0	z 	u 	y 	e 	b 	s 	w 	i 	f 	d 	x 	v 	q 	g 	n 	t 	a 	k 	9	2	7	12	5	1	0	17	8	11	13	16	15	3	6	4	10	14	z 	u 	y 	e 	b 	s 	w 	i 	f 	d 	x 	v 	q 	g 	n 	t 	a 	k 	14	16	3	5	12	2	9	1	11	6	7	4	10	0	15	17	13	8	0
main	1	0	19	MBL 	 T1 	0	False 	False 	True 	10	N 	N 	1	0	10	F 	L 	0	-5	d 	f 	q 	w 	c 	u 	k 	i 	l 	r 	o 	m 	g 	x 	t 	n 	p 	a 	4	6	8	5	10	7	13	16	3	14	15	1	12	9	17	0	2	11	d 	f 	q 	w 	c 	u 	k 	i 	l 	r 	o 	m 	g 	x 	t 	n 	p 	a 	4	10	0	16	6	8	9	11	12	13	1	5	3	17	14	7	15	2	0
