experimentPhase	block	condition	trialnum	subject	task	noisePercent	leftStreamFlip	rightStreamFlip	rightResponseFirst	cueSerialPos0	answer0	response0	correct0	responsePosRelative0	cueSerialPos1	answer1	response1	correct1	responsePosRelative1	word1_0	word1_1	word1_2	word1_3	word1_4	word1_5	word1_6	word1_7	word1_8	word1_9	word1_10	word1_11	word1_12	word1_13	word1_14	word1_15	word1_16	word1_17	Seq1_0	Seq1_1	Seq1_2	Seq1_3	Seq1_4	Seq1_5	Seq1_6	Seq1_7	Seq1_8	Seq1_9	Seq1_10	Seq1_11	Seq1_12	Seq1_13	Seq1_14	Seq1_15	Seq1_16	Seq1_17	word2_0	word2_1	word2_2	word2_3	word2_4	word2_5	word2_6	word2_7	word2_8	word2_9	word2_10	word2_11	word2_12	word2_13	word2_14	word2_15	word2_16	word2_17	Seq2_0	Seq2_1	Seq2_2	Seq2_3	Seq2_4	Seq2_5	Seq2_6	Seq2_7	Seq2_8	Seq2_9	Seq2_10	Seq2_11	Seq2_12	Seq2_13	Seq2_14	Seq2_15	Seq2_16	Seq2_17	timingBlips
main	1	0	0	MBL 	 T1 	0	False 	False 	False 	6	D 	D 	1	0	6	E 	U 	0	-4	g 	p 	k 	f 	s 	w 	a 	n 	j 	e 	r 	d 	q 	u 	y 	o 	m 	i 	8	4	6	7	15	3	11	14	9	17	5	13	16	10	12	2	1	0	g 	p 	k 	f 	s 	w 	a 	n 	j 	e 	r 	d 	q 	u 	y 	o 	m 	i 	17	14	13	15	8	11	9	2	4	10	12	0	7	5	3	16	1	6	1
main	1	0	1	MBL 	 T1 	0	False 	False 	True 	6	E 	E 	1	0	6	B 	B 	1	0	h 	r 	x 	c 	o 	m 	b 	g 	a 	p 	f 	e 	w 	l 	d 	k 	t 	s 	0	3	8	17	13	1	11	5	14	7	12	10	9	15	16	4	2	6	h 	r 	x 	c 	o 	m 	b 	g 	a 	p 	f 	e 	w 	l 	d 	k 	t 	s 	9	14	17	1	12	16	6	13	2	8	3	11	15	0	5	4	10	7	0
main	1	0	2	MBL 	 T1 	0	False 	False 	True 	5	X 	X 	1	0	5	V 	V 	1	0	m 	h 	a 	j 	v 	i 	f 	o 	c 	k 	g 	n 	l 	z 	q 	e 	x 	p 	5	0	2	10	12	16	3	11	14	15	13	7	4	6	8	9	17	1	m 	h 	a 	j 	v 	i 	f 	o 	c 	k 	g 	n 	l 	z 	q 	e 	x 	p 	5	13	16	3	7	4	8	9	6	15	2	0	17	11	1	12	10	14	0
main	1	0	3	MBL 	 T1 	0	False 	False 	True 	5	U 	U 	1	0	5	V 	V 	1	0	t 	v 	l 	c 	z 	e 	o 	u 	p 	f 	k 	g 	b 	x 	w 	q 	j 	a 	12	6	9	2	17	7	5	14	15	13	0	8	4	1	10	11	16	3	t 	v 	l 	c 	z 	e 	o 	u 	p 	f 	k 	g 	b 	x 	w 	q 	j 	a 	5	7	13	6	14	1	11	2	8	15	10	17	16	9	0	12	3	4	0
main	1	0	4	MBL 	 T1 	0	False 	False 	True 	5	H 	H 	1	0	5	I 	I 	1	0	i 	b 	v 	y 	g 	h 	s 	t 	m 	x 	f 	u 	n 	c 	q 	w 	j 	l 	17	16	6	7	4	5	14	8	15	13	10	0	3	2	9	12	1	11	i 	b 	v 	y 	g 	h 	s 	t 	m 	x 	f 	u 	n 	c 	q 	w 	j 	l 	15	10	9	13	7	0	8	4	5	1	16	12	2	11	17	6	3	14	0
main	1	0	5	MBL 	 T1 	0	False 	False 	False 	11	F 	F 	1	0	11	U 	S 	0	-999	h 	z 	r 	n 	e 	j 	y 	b 	i 	a 	w 	q 	t 	g 	k 	u 	f 	o 	7	8	6	15	9	2	14	1	11	0	3	16	10	5	17	13	12	4	h 	z 	r 	n 	e 	j 	y 	b 	i 	a 	w 	q 	t 	g 	k 	u 	f 	o 	11	12	6	8	1	5	14	0	10	16	7	15	4	2	3	13	17	9	0
main	1	0	6	MBL 	 T1 	0	False 	False 	False 	5	U 	U 	1	0	5	Q 	D 	0	-5	p 	m 	f 	o 	s 	k 	d 	i 	x 	r 	z 	l 	u 	g 	y 	j 	w 	q 	1	4	14	15	11	12	16	8	7	2	6	3	10	0	17	9	5	13	p 	m 	f 	o 	s 	k 	d 	i 	x 	r 	z 	l 	u 	g 	y 	j 	w 	q 	6	2	15	13	11	17	16	9	5	0	14	1	10	8	4	7	3	12	0
main	1	0	7	MBL 	 T1 	0	False 	False 	False 	11	F 	F 	1	0	11	T 	I 	0	6	i 	q 	k 	c 	d 	a 	v 	x 	p 	t 	n 	h 	z 	u 	g 	e 	m 	f 	10	4	2	7	8	16	12	13	6	11	9	17	15	1	14	5	3	0	i 	q 	k 	c 	d 	a 	v 	x 	p 	t 	n 	h 	z 	u 	g 	e 	m 	f 	3	7	13	4	15	17	5	12	8	16	11	9	10	6	14	1	2	0	0
main	1	0	8	MBL 	 T1 	0	False 	False 	True 	9	W 	W 	1	0	9	F 	H 	0	-8	j 	w 	n 	c 	o 	z 	a 	e 	d 	k 	f 	t 	i 	m 	b 	h 	u 	v 	11	3	13	10	15	2	14	8	0	1	9	12	7	4	5	17	6	16	j 	w 	n 	c 	o 	z 	a 	e 	d 	k 	f 	t 	i 	m 	b 	h 	u 	v 	13	15	5	0	11	1	4	12	8	10	7	14	16	2	3	9	17	6	0
main	1	0	9	MBL 	 T1 	0	False 	False 	False 	7	Z 	Z 	1	0	7	Q 	H 	0	5	b 	i 	w 	l 	q 	f 	n 	k 	r 	p 	y 	h 	e 	s 	z 	o 	v 	j 	8	4	17	9	3	16	15	14	13	7	1	6	11	0	10	5	2	12	b 	i 	w 	l 	q 	f 	n 	k 	r 	p 	y 	h 	e 	s 	z 	o 	v 	j 	3	5	16	7	10	8	17	4	2	0	15	12	11	14	13	6	1	9	0
